properties{
  x = 0,
  y = 0,
  width = 256,
  height = 256,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon/dark_brown",
  music = "cave",
}

tile{
  layer = 0,
  x = 32,
  y = 64,
  width = 192,
  height = 176,
  pattern = "floor.16-1",
}

tile{
  layer = 0,
  x = 16,
  y = 248,
  width = 224,
  height = 8,
  pattern = "ceiling.2",
}

tile{
  layer = 0,
  x = 40,
  y = 232,
  width = 176,
  height = 24,
  pattern = "wall.2-3",
}

tile{
  layer = 0,
  x = 48,
  y = 224,
  width = 160,
  height = 8,
  pattern = "wall_border.2-3",
}

tile{
  layer = 0,
  x = 16,
  y = 40,
  width = 8,
  height = 216,
  pattern = "ceiling.2",
}

tile{
  layer = 0,
  x = 16,
  y = 56,
  width = 24,
  height = 176,
  pattern = "wall.3-3",
}

tile{
  layer = 0,
  x = 48,
  y = 72,
  width = 160,
  height = 8,
  pattern = "wall_border.1-3",
}

tile{
  layer = 0,
  x = 16,
  y = 48,
  width = 216,
  height = 8,
  pattern = "ceiling.2",
}

tile{
  layer = 0,
  x = 40,
  y = 48,
  width = 176,
  height = 24,
  pattern = "wall.1-3",
}

tile{
  layer = 0,
  x = 40,
  y = 80,
  width = 8,
  height = 144,
  pattern = "wall_border.3-3",
}

tile{
  layer = 0,
  x = 208,
  y = 80,
  width = 8,
  height = 144,
  pattern = "wall_border.4-3",
}

tile{
  layer = 0,
  x = 232,
  y = 32,
  width = 8,
  height = 224,
  pattern = "ceiling.2",
}

tile{
  layer = 0,
  x = 216,
  y = 56,
  width = 24,
  height = 176,
  pattern = "wall.4-3",
}

tile{
  layer = 0,
  x = 16,
  y = 48,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-3",
}

tile{
  layer = 0,
  x = 216,
  y = 48,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-3",
}

tile{
  layer = 0,
  x = 40,
  y = 72,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-3",
}

tile{
  layer = 0,
  x = 208,
  y = 72,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-3",
}

tile{
  layer = 0,
  x = 16,
  y = 232,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-3",
}

tile{
  layer = 0,
  x = 112,
  y = 224,
  width = 32,
  height = 8,
  pattern = "door_main.2.floor.1-3",
}

tile{
  layer = 0,
  x = 120,
  y = 232,
  width = 16,
  height = 16,
  pattern = "door_main.2-3",
}

tile{
  layer = 0,
  x = 136,
  y = 232,
  width = 8,
  height = 16,
  pattern = "door_main.2.support.2-3",
}

tile{
  layer = 0,
  x = 112,
  y = 232,
  width = 8,
  height = 16,
  pattern = "door_main.2.support.1-3",
}

tile{
  layer = 0,
  x = 120,
  y = 248,
  width = 16,
  height = 8,
  pattern = "ceiling.2",
}

tile{
  layer = 0,
  x = 80,
  y = 120,
  width = 16,
  height = 64,
  pattern = "rock.6",
}

tile{
  layer = 0,
  x = 80,
  y = 176,
  width = 16,
  height = 16,
  pattern = "rock.9",
}

tile{
  layer = 0,
  x = 64,
  y = 120,
  width = 16,
  height = 64,
  pattern = "rock.4",
}

tile{
  layer = 0,
  x = 80,
  y = 112,
  width = 16,
  height = 8,
  pattern = "rock.3",
}

tile{
  layer = 0,
  x = 64,
  y = 112,
  width = 16,
  height = 8,
  pattern = "rock.1",
}

tile{
  layer = 0,
  x = 64,
  y = 176,
  width = 16,
  height = 16,
  pattern = "rock.7",
}

tile{
  layer = 0,
  x = 40,
  y = 224,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-3",
}

tile{
  layer = 0,
  x = 208,
  y = 224,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-3",
}

tile{
  layer = 0,
  x = 216,
  y = 232,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-3",
}

tile{
  layer = 0,
  x = 96,
  y = 160,
  width = 64,
  height = 16,
  pattern = "floor_pot",
}

tile{
  layer = 0,
  x = 176,
  y = 120,
  width = 16,
  height = 64,
  pattern = "rock.6",
}

tile{
  layer = 0,
  x = 176,
  y = 176,
  width = 16,
  height = 16,
  pattern = "rock.9",
}

tile{
  layer = 0,
  x = 160,
  y = 120,
  width = 16,
  height = 64,
  pattern = "rock.4",
}

tile{
  layer = 0,
  x = 176,
  y = 112,
  width = 16,
  height = 8,
  pattern = "rock.3",
}

tile{
  layer = 0,
  x = 160,
  y = 112,
  width = 16,
  height = 8,
  pattern = "rock.1",
}

tile{
  layer = 0,
  x = 160,
  y = 176,
  width = 16,
  height = 16,
  pattern = "rock.7",
}

destination{
  name = "dest_map_blacksmiths_cave_0",
  layer = 0,
  x = 128,
  y = 245,
  direction = 1,
}

teletransporter{
  name = "tp_map_blacksmiths_cave_0",
  layer = 0,
  x = 120,
  y = 240,
  width = 16,
  height = 16,
  destination_map = "A Link to the Past/Dark World/Overworld/C5_blacksmiths_house",
  destination = "dest_cave_D3_blacksmiths_0",
}

wall{
  layer = 0,
  x = 136,
  y = 248,
  width = 8,
  height = 8,
  stops_hero = true,
  stops_npcs = true,
  stops_enemies = true,
  stops_blocks = true,
  stops_projectiles = true,
}

wall{
  layer = 0,
  x = 112,
  y = 248,
  width = 8,
  height = 8,
  stops_hero = true,
  stops_npcs = true,
  stops_enemies = true,
  stops_blocks = true,
  stops_projectiles = true,
}

destructible{
  name = "vase_river_blacksmiths_cave_0",
  layer = 0,
  x = 104,
  y = 173,
  sprite = "destructibles/vase_skull",
  destruction_sound = "stone",
}

pickable{
  name = "piece_of_heart_blacksmiths_cave_0",
  layer = 0,
  x = 120,
  y = 133,
  treasure_name = "consumables/piece_of_heart",
  treasure_savegame_variable = "piece_of_heart_blacksmiths_cave_0",
}

destructible{
  name = "vase_river_blacksmiths_cave_1",
  layer = 0,
  x = 120,
  y = 173,
  sprite = "destructibles/vase_skull",
  destruction_sound = "stone",
}

destructible{
  name = "vase_river_blacksmiths_cave_2",
  layer = 0,
  x = 136,
  y = 173,
  sprite = "destructibles/vase_skull",
  destruction_sound = "stone",
}

destructible{
  name = "vase_river_blacksmiths_cave_3",
  layer = 0,
  x = 152,
  y = 173,
  sprite = "destructibles/vase_skull",
