properties{
  x = 0,
  y = 0,
  width = 512,
  height = 512,
  min_layer = 0,
  max_layer = 2,
  world = "ice_palace",
  floor = -5,
  tileset = "dungeon/light_blue",
  music = "dark_world_dungeon",
}

tile{
  layer = 0,
  x = 40,
  y = 464,
  width = 432,
  height = 24,
  pattern = "wall.2-4",
}

tile{
  layer = 0,
  x = 40,
  y = 56,
  width = 8,
  height = 400,
  pattern = "wall_border.3-4",
}

tile{
  layer = 0,
  x = 48,
  y = 48,
  width = 416,
  height = 8,
  pattern = "wall_border.1-4",
}

tile{
  layer = 0,
  x = 48,
  y = 456,
  width = 416,
  height = 8,
  pattern = "wall_border.2-4",
}

tile{
  layer = 0,
  x = 464,
  y = 56,
  width = 8,
  height = 400,
  pattern = "wall_border.4-4",
}

tile{
  layer = 0,
  x = 48,
  y = 304,
  width = 416,
  height = 8,
  pattern = "wall_border.1-4",
}

tile{
  layer = 0,
  x = 296,
  y = 56,
  width = 8,
  height = 400,
  pattern = "wall_border.3-4",
}

tile{
  layer = 0,
  x = 208,
  y = 56,
  width = 8,
  height = 400,
  pattern = "wall_border.4-4",
}

tile{
  layer = 0,
  x = 48,
  y = 200,
  width = 416,
  height = 8,
  pattern = "wall_border.2-4",
}

tile{
  layer = 0,
  x = 272,
  y = 48,
  width = 24,
  height = 416,
  pattern = "wall.3-4",
}

tile{
  layer = 0,
  x = 40,
  y = 280,
  width = 432,
  height = 24,
  pattern = "wall.1-4",
}

tile{
  layer = 0,
  x = 40,
  y = 208,
  width = 432,
  height = 24,
  pattern = "wall.2-4",
}

tile{
  layer = 0,
  x = 216,
  y = 48,
  width = 24,
  height = 416,
  pattern = "wall.4-4",
}

tile{
  layer = 0,
  x = 472,
  y = 48,
  width = 24,
  height = 416,
  pattern = "wall.4-4",
}

tile{
  layer = 0,
  x = 40,
  y = 24,
  width = 432,
  height = 24,
  pattern = "wall.1-4",
}

tile{
  layer = 0,
  x = 16,
  y = 48,
  width = 24,
  height = 416,
  pattern = "wall.3-4",
}

tile{
  layer = 0,
  x = 16,
  y = 80,
  width = 32,
  height = 16,
  pattern = "wall_pillar.3-8",
}

tile{
  layer = 0,
  x = 16,
  y = 64,
  width = 32,
  height = 16,
  pattern = "wall_pillar.3-8",
}

tile{
  layer = 0,
  x = 48,
  y = 24,
  width = 16,
  height = 32,
  pattern = "wall_pillar.1-8",
}

tile{
  layer = 0,
  x = 128,
  y = 24,
  width = 16,
  height = 32,
  pattern = "wall_pillar.1-8",
}

tile{
  layer = 0,
  x = 112,
  y = 24,
  width = 16,
  height = 32,
  pattern = "wall_pillar.1-8",
}

tile{
  layer = 0,
  x = 48,
  y = 312,
  width = 160,
  height = 144,
  pattern = "floor.13-1",
}

tile{
  layer = 0,
  x = 40,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-4",
}

tile{
  layer = 0,
  x = 40,
  y = 48,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-4",
}

tile{
  layer = 0,
  x = 208,
  y = 48,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-4",
}

tile{
  layer = 0,
  x = 208,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-4",
}

tile{
  layer = 0,
  x = 48,
  y = 56,
  width = 160,
  height = 144,
  pattern = "floor.13-1",
}

tile{
  layer = 0,
  x = 96,
  y = 48,
  width = 16,
  height = 16,
  pattern = "barrier_big.border.1-3",
}

tile{
  layer = 0,
  x = 96,
  y = 64,
  width = 16,
  height = 24,
  pattern = "barrier_big.2-1",
}

tile{
  layer = 0,
  x = 96,
  y = 88,
  width = 16,
  height = 24,
  pattern = "barrier_big.border.2-3",
}

tile{
  layer = 0,
  x = 128,
  y = 64,
  width = 16,
  height = 16,
  pattern = "barrier_big.border.1-3",
}

tile{
  layer = 0,
  x = 128,
  y = 80,
  width = 16,
  height = 8,
  pattern = "barrier_big.2-1",
}

tile{
  layer = 0,
  x = 128,
  y = 88,
  width = 16,
  height = 24,
  pattern = "barrier_big.border.2-3",
}

tile{
  layer = 0,
  x = 232,
  y = 112,
  width = 48,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 232,
  y = 136,
  width = 48,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 232,
  y = 416,
  width = 48,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 232,
  y = 440,
  width = 48,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 368,
  y = 224,
  width = 8,
  height = 64,
  pattern = "barrier.2-1",
}

tile{
  layer = 0,
  x = 392,
  y = 224,
  width = 8,
  height = 64,
  pattern = "barrier.2-1",
}

tile{
  layer = 0,
  x = 304,
  y = 56,
  width = 160,
  height = 144,
  pattern = "floor.13-1",
}

tile{
  layer = 0,
  x = 464,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-4",
}

tile{
  layer = 0,
  x = 296,
  y = 200,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-4",
}

tile{
  layer = 0,
  x = 296,
  y = 48,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-4",
}

tile{
  layer = 0,
  x = 464,
  y = 48,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-4",
}

tile{
  layer = 0,
  x = 296,
  y = 304,
  width = 176,
  height = 160,
  pattern = "floor_small.1",
}

tile{
  layer = 0,
  x = 296,
  y = 304,
  width = 176,
  height = 160,
  pattern = "ice_semi-solid",
}

tile{
  layer = 0,
  x = 208,
  y = 456,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-4",
}

tile{
  layer = 0,
  x = 208,
  y = 304,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-4",
}

tile{
  layer = 0,
  x = 40,
  y = 456,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-4",
}

tile{
  layer = 0,
  x = 40,
  y = 304,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-4",
}

tile{
  layer = 0,
  x = 16,
  y = 464,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-4",
}

tile{
