properties{
  x = 0,
  y = 0,
  width = 432,
  height = 504,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon/gray_yellow",
  music = "sanctuary",
}

tile{
  layer = 0,
  x = 128,
  y = 88,
  width = 176,
  height = 352,
  pattern = "1071",
}

tile{
  layer = 0,
  x = 128,
  y = 88,
  width = 176,
  height = 352,
  pattern = "floor.1-Alpha",
}

tile{
  layer = 0,
  x = 160,
  y = 80,
  width = 112,
  height = 80,
  pattern = "929",
}

tile{
  layer = 0,
  x = 168,
  y = 448,
  width = 96,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = 0,
  x = 280,
  y = 80,
  width = 32,
  height = 8,
  pattern = "wall_border.1-2",
}

tile{
  layer = 0,
  x = 120,
  y = 80,
  width = 32,
  height = 8,
  pattern = "wall_border.1-2",
}

tile{
  layer = 0,
  x = 168,
  y = 440,
  width = 96,
  height = 8,
  pattern = "wall_border.2-2",
}

tile{
  layer = 0,
  x = 256,
  y = 336,
  width = 48,
  height = 8,
  pattern = "wall_border.2-2",
}

tile{
  layer = 0,
  x = 128,
  y = 336,
  width = 48,
  height = 8,
  pattern = "wall_border.2-2",
}

tile{
  layer = 0,
  x = 168,
  y = 336,
  width = 8,
  height = 112,
  pattern = "wall_border.3-2",
}

tile{
  layer = 0,
  x = 280,
  y = 344,
  width = 32,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = 0,
  x = 312,
  y = 80,
  width = 24,
  height = 272,
  pattern = "wall_low.4-1",
}

tile{
  layer = 0,
  x = 96,
  y = 80,
  width = 24,
  height = 272,
  pattern = "wall_low.3-1",
}

tile{
  layer = 0,
  x = 200,
  y = 448,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 0,
  x = 224,
  y = 448,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 0,
  x = 208,
  y = 464,
  width = 16,
  height = 24,
  pattern = "ceiling.2",
}

tile{
  layer = 0,
  x = 208,
  y = 448,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 0,
  x = 96,
  y = 56,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = 0,
  x = 120,
  y = 56,
  width = 16,
  height = 24,
  pattern = "church.pillar_bottom.1",
}

tile{
  layer = 0,
  x = 136,
  y = 56,
  width = 16,
  height = 24,
  pattern = "stain_glass.1.bottom",
}

tile{
  layer = 0,
  x = 152,
  y = 56,
  width = 16,
  height = 24,
  pattern = "church.pillar_bottom.1",
}

tile{
  layer = 0,
  x = 168,
  y = 56,
  width = 16,
  height = 24,
  pattern = "stain_glass.1.bottom",
}

tile{
  layer = 0,
  x = 184,
  y = 56,
  width = 16,
  height = 24,
  pattern = "church.pillar_bottom.1",
}

tile{
  layer = 0,
  x = 232,
  y = 56,
  width = 16,
  height = 24,
  pattern = "church.pillar_bottom.1",
}

tile{
  layer = 0,
  x = 248,
  y = 56,
  width = 16,
  height = 24,
  pattern = "stain_glass.1.bottom",
}

tile{
  layer = 0,
  x = 264,
  y = 56,
  width = 16,
  height = 24,
  pattern = "church.pillar_bottom.1",
}

tile{
  layer = 0,
  x = 280,
  y = 56,
  width = 16,
  height = 24,
  pattern = "stain_glass.1.bottom",
}

tile{
  layer = 0,
  x = 296,
  y = 56,
  width = 16,
  height = 24,
  pattern = "church.pillar_bottom.1",
}

tile{
  layer = 0,
  x = 312,
  y = 56,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = 0,
  x = 152,
  y = 80,
  width = 8,
  height = 80,
  pattern = "stage.4-1",
}

tile{
  layer = 0,
  x = 160,
  y = 144,
  width = 16,
  height = 16,
  pattern = "torch_big.bottom",
}

tile{
  layer = 0,
  x = 152,
  y = 160,
  width = 8,
  height = 8,
  pattern = "stage.1-1",
}

tile{
  layer = 0,
  x = 272,
  y = 80,
  width = 8,
  height = 80,
  pattern = "stage.5-1",
}

tile{
  layer = 0,
  x = 272,
  y = 160,
  width = 8,
  height = 8,
  pattern = "stage.2-1",
}

tile{
  layer = 0,
  x = 160,
  y = 160,
  width = 32,
  height = 8,
  pattern = "stage.3-1",
}

tile{
  layer = 0,
  x = 240,
  y = 160,
  width = 32,
  height = 8,
  pattern = "stage.3-1",
}

tile{
  layer = 0,
  x = 192,
  y = 160,
  width = 8,
  height = 8,
  pattern = "stage.2-1",
}

tile{
  layer = 0,
  x = 232,
  y = 160,
  width = 8,
  height = 8,
  pattern = "stage.1-1",
}

tile{
  layer = 0,
  x = 192,
  y = 152,
  width = 8,
  height = 8,
  pattern = "stage.7-1",
}

tile{
  layer = 0,
  x = 232,
  y = 152,
  width = 8,
  height = 8,
  pattern = "stage.6-1",
}

tile{
  layer = 0,
  x = 256,
  y = 144,
  width = 16,
  height = 16,
  pattern = "torch_big.bottom",
}

tile{
  layer = 0,
  x = 96,
  y = 136,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.3.bottom",
}

tile{
  layer = 0,
  x = 96,
  y = 184,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.3.bottom",
}

tile{
  layer = 0,
  x = 96,
  y = 232,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.3.bottom",
}

tile{
  layer = 0,
  x = 96,
  y = 280,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.3.bottom",
}

tile{
  layer = 0,
  x = 312,
  y = 136,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.4.bottom",
}

tile{
  layer = 0,
  x = 312,
  y = 184,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.4.bottom",
}

tile{
  layer = 0,
  x = 312,
  y = 232,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.4.bottom",
}

tile{
  layer = 0,
  x = 312,
  y = 280,
  width = 24,
  height = 32,
  pattern = "stain_glass.wide.4.bottom",
}

tile{
  layer = 0,
  x = 136,
  y = 200,
  width = 16,
  height = 24,
  pattern = "pew.1",
}

tile{
  layer = 0,
  x = 152,
  y = 200,
  width = 16,
  height = 24,
  pattern = "pew.2",
}

tile{
  layer = 0,
  x = 168,
