properties{
  x = 512,
  y = 2560,
  width = 512,
  height = 512,
  min_layer = -4,
  max_layer = 7,
  world = "Light World",
  tileset = "out/outside_main",
  music = "overworld",
}

tile{
  layer = -4,
  x = 0,
  y = 0,
  width = 512,
  height = 504,
  pattern = "14667",
}

tile{
  layer = -4,
  x = 368,
  y = 392,
  width = 144,
  height = 16,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 360,
  y = 384,
  width = 16,
  height = 16,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 176,
  y = 232,
  width = 32,
  height = 16,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 376,
  y = 0,
  width = 16,
  height = 48,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 368,
  y = 24,
  width = 8,
  height = 32,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 352,
  y = 48,
  width = 32,
  height = 8,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 352,
  y = 40,
  width = 16,
  height = 8,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 360,
  y = 32,
  width = 8,
  height = 8,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 392,
  y = 112,
  width = 16,
  height = 32,
  pattern = "13892",
}

tile{
  layer = -4,
  x = 408,
  y = 120,
  width = 8,
  height = 16,
  pattern = "13892",
}

tile{
  layer = -3,
  x = 368,
  y = 0,
  width = 8,
  height = 16,
  pattern = "125",
}

tile{
  layer = -3,
  x = 392,
  y = 0,
  width = 8,
  height = 48,
  pattern = "121",
}

tile{
  layer = -3,
  x = 352,
  y = 56,
  width = 32,
  height = 8,
  pattern = "119",
}

tile{
  layer = -3,
  x = 384,
  y = 112,
  width = 8,
  height = 32,
  pattern = "125",
}

tile{
  layer = -3,
  x = 176,
  y = 224,
  width = 32,
  height = 8,
  pattern = "123",
}

tile{
  layer = -3,
  x = 176,
  y = 248,
  width = 32,
  height = 8,
  pattern = "119",
}

tile{
  layer = -3,
  x = 352,
  y = 384,
  width = 8,
  height = 16,
